Account Number,Account Name,Account Type,Source Account Number,Source Account Name,As-Of Date,Mellon Security ID,Country Code,Country,Segment,Category,Sector,Industry,Security Description 1,Security Description 2,,Acct Base Currency Code,Exchange Rate,Issue Currency Code,Shares/Par,Base Cost,Local Cost,Base Price,Local Price,Base Market Value,Local Market Value,Base Net Income Receivable,Local Net Income Receivable,Base Market Value with Accrual,Coupon Rate,Maturity Date,Base Unrealized Gain/Loss,Local Unrealized Gain/Loss,Base Unrealized Currency Gain/Loss,Base Net Unrealized Gain/Loss,Percent of Total,ISIN,SEDOL,CUSIP,Ticker,CMS Account Number,Income Currency,Security Identifier,Underlying Security,Fair Value Price Level,Report Run Date and Time (EDT)
23100300,PORT CDN BAL,V,23100300,PORT CDN BAL,11/11/2024,INTEXPCAD,CA,CANADA,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,INTEREST EXPENSE,,,CAD,1.000000,CAD,0.0000,0.00,0.00,0.000000,0.000000,0.00,0.00,0.12,0.12,0.12,0.00,,0.00,0.00,0.00,0.00, 0.00 ,,,,,,CAD,,,,11/11/2024 06:36:33 PM 
23100300,PORT CDN BAL,V,23100300,PORT CDN BAL,11/11/2024,CAD,CA,CANADA,CASH,BASE CASH,BASE CASH,BASE CASH,Canadian Dollar,,,CAD,1.000000,CAD,"53,765.0500","53,765.05","53,765.05",1.000000,1.000000,"53,765.05","53,765.05",0.00,0.00,"53,765.05",0.00,,0.00,0.00,0.00,0.00, 0.17 ,,,,,,CAD,,,,11/11/2024 06:36:33 PM 
23100300,PORT CDN BAL,V,23100300,PORT CDN BAL,11/11/2024,EXPENSE              03151,CA,CANADA,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,MGMT Fee Rebate 2 - Class 1,,,CAD,1.000000,CAD,1.0000,0.00,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00, -   ,,,,,,CAD,,,,11/11/2024 06:36:33 PM 
23100300,PORT CDN BAL,V,23100300,PORT CDN BAL,11/11/2024,EXPENSE              03156,CA,CANADA,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,MGMT Fee Rebate 2 - Class 6,,,CAD,1.000000,CAD,1.0000,0.00,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00, -   ,,,,,,CAD,,,,11/11/2024 06:36:33 PM 
23100300,PORT CDN BAL,V,23100300,PORT CDN BAL,11/11/2024,EXPENSE              03251,CA,CANADA,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,MGMT FEE REBATE DISTRIBUTION - CLASS 1,,,CAD,1.000000,CAD,1.0000,0.00,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00, -   ,,,,,,CAD,,,,11/11/2024 06:36:33 PM 
23100300,PORT CDN BAL,V,23100300,PORT CDN BAL,11/11/2024,EXPENSE              03256,CA,CANADA,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,MGMT FEE REBATE DISTRIBUTION - CLASS 6,,,CAD,1.000000,CAD,1.0000,0.00,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00, -   ,,,,,,CAD,,,,11/11/2024 06:36:33 PM 
23100300,PORT CDN BAL,V,23100300,PORT CDN BAL,11/11/2024,EXPENSE              10701,CA,CANADA,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,MGMT FEE REBATE HST - CLASS 1,,,CAD,1.000000,CAD,1.0000,0.00,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00, -   ,,,,,,CAD,,,,11/11/2024 06:36:33 PM 
23100300,PORT CDN BAL,V,23100300,PORT CDN BAL,11/11/2024,EXPENSE              10706,CA,CANADA,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,MGMT FEE REBATE HST - CLASS 6,,,CAD,1.000000,CAD,1.0000,0.00,0.00,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00, -   ,,,,,,CAD,,,,11/11/2024 06:36:33 PM 
23100300,PORT CDN BAL,V,23100300,PORT CDN BAL,11/11/2024,EXPENSE              03801,CA,CANADA,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,HST Rebate Rec/Pay - Class 1,,,CAD,1.000000,CAD,1.0000,21.75,21.75,0.000000,0.000000,21.75,21.75,0.00,0.00,21.75,0.00,,0.00,0.00,0.00,0.00, 0.00 ,,,,,,CAD,,,,11/11/2024 06:36:33 PM 
23100300,PORT CDN BAL,V,23100300,PORT CDN BAL,11/11/2024,EXPENSE              03806,CA,CANADA,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,CONVERSION SECURITY SEGMENT,HST Rebate Rec/Pay - Class 6,,,CAD,1.000000,CAD,1.0000,9.26,9.26,0.000000,0.000000,9.26,9.26,0.00,0.00,9.26,0.00,,0.00,0.00,0.00,0.00, 0.00 ,,,,,,CAD,,,,11/11/2024 06:36:33 PM 
