Ticker,Security Description 1,Country Code,ISIN,Acct Base Currency Code,Issue Currency Code,Segment,Final Ticker,Difference,Yahoo Finance,Local Price
ACO/X,"ATCO Limited, Class 'I'",CA,CA0467894006,CAD,CAD,EQUITIES,ACO-X.TO,1.98,49.37,47.39
BMO,Bank of Montreal,CA,CA0636711016,CAD,CAD,EQUITIES,BMO.TO,1.4,132.45,131.05
BNS,Bank of Nova Scotia,CA,CA0641491075,CAD,CAD,EQUITIES,BNS.TO,3.32,78.59,75.27
EMP/A,"Empire Company Limited, Class 'A'",CA,CA2918434077,CAD,CAD,EQUITIES,EMP-A.TO,0.25,41.24,40.99
MG,Magna International Inc.,CA,CA5592224011,CAD,CAD,EQUITIES,MG.TO,-0.25,61.5,61.75
TD,Toronto-Dominion Bank,CA,CA8911605092,CAD,CAD,EQUITIES,TD.TO,-1.22,78.06,79.28
SU,"Suncor Energy, Inc.",CA,CA8672241079,CAD,CAD,EQUITIES,SU.TO,3.38,57.45,54.07
CPD,iShares S&P/TSX Canadian Preferred Share In,CA,CA46431G2053,CAD,CAD,EQUITIES,CPD.TO,,,12.09
NTR,Nutrien Limited,CA,CA67077M1086,CAD,CAD,EQUITIES,NTR.TO,-2.77,65.23,68
SOBO,South Bow Corp,CA,CA83671M1059,CAD,CAD,EQUITIES,SOBO.TO,2.565,37.235,34.67
HPR,Global X Active Preferred Share ETF,CA,CA37892R1038,CAD,CAD,EQUITIES,HPR.TO,,,8.86
ZPR,BMO Laddered Preferred Share Index ETF,CA,CA05581T1021,CAD,CAD,EQUITIES,ZPR.TO,,,10.37
1,CK Hutchison Holdings Limited,HK,KYG217651051,CAD,HKD,EQUITIES,1.HK,,,40.85
T,AT&T Inc.,US,US00206R1023,CAD,USD,EQUITIES,T,0.685,22.995,22.31
ELV,Elevance Health Inc.,US,US0367521038,CAD,USD,EQUITIES,ELV,-22.91,402.48,425.39
CVS,CVS Health Corporation,US,US1266501006,CAD,USD,EQUITIES,CVS,1.0623,56.8723,55.81
C,Citigroup Inc.,US,US1729674242,CAD,USD,EQUITIES,C,-0.69,69.11,69.8
VZ,Verizon Communications Inc.,US,US92343V1044,CAD,USD,EQUITIES,VZ,2.065,42.505,40.44
TLX,Telix Pharmaceuticals Ltd.,AU,AU000000TLX2,CAD,AUD,EQUITIES,TLX,-8.572,14.768,23.34
CU6,Clarity Pharmaceuticals Ltd,AU,AU0000165375,CAD,AUD,EQUITIES,CU6,,,7.48
ASY,Assystem,FR,FR0000074148,CAD,EUR,EQUITIES,ASY,,,38.1
SMSN,"Samsung Electronics Company Limited, GDR",KR,US7960508882,CAD,USD,EQUITIES,SMSN,,,979.5
RIGD,"Reliance Industries Limited, GDR",IN,US7594701077,CAD,USD,EQUITIES,RIGD,,,59.6
OKLO,Oklo Inc,US,US02156V1098,CAD,USD,EQUITIES,OKLO,0.91,24.97,24.06
ARES,Ares Management Corp.,US,US03990B1017,CAD,USD,EQUITIES,ARES,4.34,175.72,171.38
BRK/B,"Berkshire Hathaway Inc., Class B",US,US0846707026,CAD,USD,EQUITIES,BRK-B,5.18,472.54,467.36
,BGC GROUP INC - A ,US,US0889291045,CAD,USD,EQUITIES,,,,11.49
K7X,Brookfield Corporation,CA,CA11271J1075,CAD,USD,EQUITIES,K7X.TO,,,58.77
BAM-W,Brookfield Asset Management Ltd.,CA,CA1130041058,CAD,USD,EQUITIES,BAM-W.TO,,,57.8
CCL,Carnival Corporation,US,PA1436583006,CAD,USD,EQUITIES,CCL,0.77,25.37,24.6
DHR,Danaher Corporation,US,US2358511028,CAD,USD,EQUITIES,DHR,-8.9,234.35,243.25
LVMUY,"LVMH Moet Hennessy Louis Vuitton SE, ADR",FR,US5024413065,CAD,USD,EQUITIES,LVMUY,-6.54,120.7,127.24
BIL,SPDR Bloomberg Barclays 1-3 Month T-Bill ETF,US,US78468R6633,CAD,USD,EQUITIES,BIL,,,91.57
TTE,TotalEnergies SE,FR,US89151E1091,CAD,USD,EQUITIES,TTE,59.89,59.89,0
TLX,Telix Pharmaceuticals Ltd.,AU,AU000000TLX2,CAD,AUD,EQUITIES,TLX,-8.572,14.768,23.34
CU6,Clarity Pharmaceuticals Ltd,AU,AU0000165375,CAD,AUD,EQUITIES,CU6,,,7.48
AMGN,Amgen Inc.,US,US0311621009,CAD,USD,EQUITIES,AMGN,-32.39,289.42,321.81
ARVN,Arvinas Inc,US,US04335A1051,CAD,USD,EQUITIES,ARVN,-3.205,24.835,28.04
BGNE,"BeiGene Limited, ADR",US,US07725L1026,CAD,USD,EQUITIES,BGNE,-10.56,194.48,205.04
BCYC,Bicycle Therapeutics PLC,GB,US0887861088,CAD,USD,EQUITIES,BCYC,-3.885,20.435,24.32
BBIO,Bridgebio Pharma Inc,US,US10806X1028,CAD,USD,EQUITIES,BBIO,-2.83,23.29,26.12
DHR,Danaher Corporation,US,US2358511028,CAD,USD,EQUITIES,DHR,-8.9,234.35,243.25
IOVA,Iovance Biotherapeutics Inc.,US,US4622601007,CAD,USD,EQUITIES,IOVA,-2.325,8.325,10.65
CATX,Perspective Therapeutics Inc,US,US46489V3024,CAD,USD,EQUITIES,CATX,-8.045,3.045,11.09
LNTH,Lantheus Holdings Inc.,US,US5165441032,CAD,USD,EQUITIES,LNTH,3.942,88.022,84.08
NUVL,Nuvalent Inc,US,US6707031075,CAD,USD,EQUITIES,NUVL,-0.4,93.99,94.39
OLMA,Olema Pharmaceuticals Inc,US,US68062P1066,CAD,USD,EQUITIES,OLMA,-4.63,8.09,12.72
RDNT,RadNet Inc.,US,US7504911022,CAD,USD,EQUITIES,RDNT,-4.6625,81.7175,86.38
RLAY,Relay Therapeutics Inc,US,US75943R1023,CAD,USD,EQUITIES,RLAY,-1.54,4.62,6.16
BIL,SPDR Bloomberg Barclays 1-3 Month T-Bill ETF,US,US78468R6633,CAD,USD,EQUITIES,BIL,,,91.57
SDGR,Schrodinger Inc. (USD),US,US80810D1037,CAD,USD,EQUITIES,SDGR,0.83,20.37,19.54
ICLR,Icon PLC,IE,IE0005711209,CAD,USD,EQUITIES,ICLR,-0.15,212.03,212.18
SLX,Silex Systems Ltd,AU,AU000000SLX4,CAD,AUD,EQUITIES,SLX,,,5.73
CCO,Cameco Corporation,CA,CA13321L1085,CAD,CAD,EQUITIES,CCO.TO,12.51,85.05,72.54
U-U,Sprott Physical Uranium Trust,CA,CA85210A1049,CAD,CAD,EQUITIES,U-U.TO,-4.59,19.11,23.7
CEZ,CEZ AS,CZ,CZ0005112300,CAD,CZK,EQUITIES,CEZ,,,900
ASY,Assystem,FR,FR0000074148,CAD,EUR,EQUITIES,ASY,,,38.1
ITM,ITM Power PLC,GB,GB00B0130H42,CAD,GBP,EQUITIES,ITM,,,0.4122
JMAT,Johnson Matthey PLC,GB,GB00BZ4BQC70,CAD,GBP,EQUITIES,JMAT,,,15.28
34020,"Doosan Enerbility Co., Ltd.",KR,KR7034020008,CAD,KRW,EQUITIES,34020,,,"20,900.00"
52690,KEPCO Engineering & Construction Co Inc,KR,KR7052690005,CAD,KRW,EQUITIES,52690,,,"69,700.00"
SNN,Societatea Nationala Nuclearelectrica SA,RO,ROSNNEACNOR8,CAD,RON,EQUITIES,SNN,-18.92,25.08,44
